token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,exchange_type
64553,NIFTY27MAR2518000PE,NIFTY,27MAR2025,18000.0,75,OPTIDX,NFO,5.0,2
64552,NIFTY27MAR2518000CE,NIFTY,27MAR2025,18000.0,75,OPTIDX,NFO,5.0,2
64555,NIFTY27MAR2519000PE,NIFTY,27MAR2025,19000.0,75,OPTIDX,NFO,5.0,2
64554,NIFTY27MAR2519000CE,NIFTY,27MAR2025,19000.0,75,OPTIDX,NFO,5.0,2
64556,NIFTY27MAR2520000CE,NIFTY,27MAR2025,20000.0,75,OPTIDX,NFO,5.0,2
64557,NIFTY27MAR2520000PE,NIFTY,27MAR2025,20000.0,75,OPTIDX,NFO,5.0,2
64561,NIFTY27MAR2521000PE,NIFTY,27MAR2025,21000.0,75,OPTIDX,NFO,5.0,2
64560,NIFTY27MAR2521000CE,NIFTY,27MAR2025,21000.0,75,OPTIDX,NFO,5.0,2
46830,NIFTY27MAR2521100PE,NIFTY,27MAR2025,21100.0,75,OPTIDX,NFO,5.0,2
46829,NIFTY27MAR2521100CE,NIFTY,27MAR2025,21100.0,75,OPTIDX,NFO,5.0,2
46841,NIFTY27MAR2521150PE,NIFTY,27MAR2025,21150.0,75,OPTIDX,NFO,5.0,2
46831,NIFTY27MAR2521150CE,NIFTY,27MAR2025,21150.0,75,OPTIDX,NFO,5.0,2
46842,NIFTY27MAR2521200CE,NIFTY,27MAR2025,21200.0,75,OPTIDX,NFO,5.0,2
46849,NIFTY27MAR2521200PE,NIFTY,27MAR2025,21200.0,75,OPTIDX,NFO,5.0,2
46854,NIFTY27MAR2521250CE,NIFTY,27MAR2025,21250.0,75,OPTIDX,NFO,5.0,2
46855,NIFTY27MAR2521250PE,NIFTY,27MAR2025,21250.0,75,OPTIDX,NFO,5.0,2
46866,NIFTY27MAR2521300CE,NIFTY,27MAR2025,21300.0,75,OPTIDX,NFO,5.0,2
46867,NIFTY27MAR2521300PE,NIFTY,27MAR2025,21300.0,75,OPTIDX,NFO,5.0,2
46869,NIFTY27MAR2521350PE,NIFTY,27MAR2025,21350.0,75,OPTIDX,NFO,5.0,2
46868,NIFTY27MAR2521350CE,NIFTY,27MAR2025,21350.0,75,OPTIDX,NFO,5.0,2
46874,NIFTY27MAR2521400CE,NIFTY,27MAR2025,21400.0,75,OPTIDX,NFO,5.0,2
46877,NIFTY27MAR2521400PE,NIFTY,27MAR2025,21400.0,75,OPTIDX,NFO,5.0,2
